StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
2697,0.00,0.00,0.00,0.00,0.00,0.00,8.92,0.00,0.00,0.00,0.00,0.00,0.00
2698,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.51,-0.55,0.00,0.00
2699,0.00,0.00,0.00,0.00,0.00,65.46,0.00,0.00,-0.55,0.00,0.00,0.00,0.00
2706,-0.05,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,-3.77,-0.55,0.00,41.16,0.00
2712,0.00,27.24,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00
2713,0.00,0.00,-1.91,0.00,-0.05,0.00,0.00,-0.05,0.00,0.00,0.00,57.24,0.00
2728,-0.05,86.92,-4.14,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,-0.30
2729,0.00,0.00,3.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2737,0.00,4.69,0.00,0.36,0.00,-0.05,-0.05,0.00,0.00,-0.55,-0.55,0.00,-0.30
2744,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.64,0.00,0.00,0.00,0.00
2745,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.10,0.00
2880,0.25,0.20,0.20,2.00,0.00,0.20,0.38,0.20,0.00,0.00,-0.84,0.00,0.38
2881,0.00,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,14.31,0.20
2882,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00
2883,0.22,0.00,0.00,1.54,0.00,0.00,0.00,0.00,2.97,0.00,0.00,0.00,0.00
2884,0.20,0.00,0.40,0.00,0.00,0.00,0.20,0.00,6.89,0.00,-8.92,0.00,0.20
2885,0.20,0.00,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,-8.44,0.00,0.00
2886,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.69,0.00,0.00,0.00
2887,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2896,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,1.69,0.00,0.00,0.00,0.00
2897,0.00,1.09,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.00
2900,0.25,0.90,0.00,0.00,0.20,2.28,1.13,0.00,0.00,17.24,-16.74,0.00,0.00
2901,0.00,0.20,0.00,0.00,0.00,0.00,0.00,1.23,0.00,0.00,0.00,0.00,0.20
2912,0.00,0.00,0.27,1.80,0.38,0.31,0.31,0.00,1.17,0.00,0.00,0.00,0.00
2913,0.20,0.37,0.20,0.00,0.00,0.00,0.20,1.04,0.00,0.00,0.00,0.00,0.00
2916,0.00,0.00,0.00,1.49,0.00,0.00,0.00,0.00,0.00,2.88,0.00,0.25,0.00
2917,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.11,0.20,0.00,0.00,0.00
2928,0.00,0.00,0.20,0.00,0.00,0.20,0.20,0.58,2.57,0.00,0.00,0.00,0.00
2929,0.00,0.00,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
