Action,SunBucket,Sum,N
0,0,3.0,61
0,1,3.0,25
0,2,1.0,8
0,3,1.0,1
1,0,25.0,73
1,1,31.0,85
1,2,7.0,18
1,3,5.0,12
2,0,0.0,2
2,1,1.0,9
2,2,1.0,2
3,0,400.0,403
3,1,356.5,374
3,2,353.0,356
3,3,13.5,14
4,0,0.0,27
4,1,1.0,36
4,2,0.0,2
5,0,0.0,7
5,1,1.0,23
5,2,304.0,309
5,3,9.0,9
6,0,4.0,8
6,1,4.0,7
6,2,1.0,1
6,3,0.0,3
7,0,18.0,22
7,1,18.0,23
7,2,0.0,1
7,3,3.0,3
8,0,0.0,23
8,1,0.0,42
8,2,0.0,4
9,0,0.0,4
9,1,0.0,13
9,2,24.0,31
9,3,6.0,21
10,0,35.0,39
10,1,4.0,7
10,2,1.0,4
10,3,1.0,1
11,0,404.0,404
11,1,672.0,675
11,2,1.0,2
