StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
49,-100.00,22.50,-100.00,45.00,0.00,-100.00,-100.00,-100.00,0.00,-100.00,-100.00,22.50,0.00
50,-100.00,22.50,-100.00,45.00,0.00,-100.00,-100.00,-100.00,0.00,-100.00,-100.00,22.50,0.00
51,-100.00,22.50,-100.00,45.00,0.00,-100.00,-100.00,-100.00,0.00,-100.00,-100.00,22.50,0.00
52,0.00,-100.00,-100.00,72.53,0.00,-100.00,-100.00,22.50,0.00,-100.00,-100.00,22.50,0.00
53,0.00,-100.00,-100.00,45.00,0.00,-100.00,-100.00,22.50,0.00,-100.00,-100.00,22.50,0.00
54,0.00,-100.00,-100.00,45.00,0.00,-100.00,-100.00,22.50,0.00,-100.00,-100.00,22.50,0.00
55,0.00,-100.00,-100.00,45.00,0.00,-100.00,-100.00,22.50,0.00,-100.00,-100.00,22.50,0.00
56,-100.00,22.50,0.00,-100.00,0.00,-100.00,-100.00,-100.00,0.00,-100.00,-100.00,22.50,0.00
57,-100.00,22.50,0.00,-100.00,0.00,-100.00,-100.00,-100.00,0.00,-100.00,-100.00,22.50,0.00
58,-100.00,22.50,0.00,-100.00,0.00,-100.00,-100.00,-100.00,0.00,-100.00,-100.00,22.50,0.00
59,-100.00,22.50,0.00,-100.00,0.00,-100.00,-100.00,-100.00,0.00,-100.00,-100.00,22.50,0.00
60,0.00,-100.00,0.00,-100.00,0.00,-100.00,-100.00,22.50,0.00,-100.00,-100.00,22.50,0.00
61,0.00,-100.00,0.00,-100.00,0.00,-100.00,-100.00,22.50,0.00,-100.00,-100.00,22.50,0.00
62,0.00,-100.00,0.00,-100.00,0.00,-100.00,-100.00,22.50,0.00,-100.00,-100.00,22.50,0.00
63,0.00,-100.00,0.00,-100.00,0.00,-100.00,-100.00,22.50,0.00,-100.00,-100.00,22.50,0.00
64,-100.00,22.50,-100.00,45.00,-100.00,-100.00,-100.00,-100.00,-100.00,-100.00,0.00,-100.00,0.00
65,-100.00,22.50,-100.00,45.00,-100.00,22.50,-100.00,-100.00,-100.00,22.50,0.00,-100.00,0.00
66,-100.00,22.50,-100.00,45.00,-100.00,22.50,-100.00,-100.00,-100.00,22.50,0.00,-100.00,0.00
67,-100.00,22.50,-100.00,45.00,-100.00,22.50,-100.00,-100.00,-100.00,22.50,0.00,-100.00,0.00
68,0.00,-100.00,-100.00,45.00,-100.00,-100.00,-100.00,22.50,-100.00,-100.00,0.00,-100.00,0.00
69,0.00,-100.00,-100.00,45.00,-100.00,22.50,-100.00,22.50,-100.00,22.50,0.00,-100.00,0.00
70,0.00,-100.00,-100.00,45.00,-100.00,22.50,-100.00,22.50,-100.00,22.50,0.00,-100.00,0.00
71,0.00,-100.00,-100.00,45.00,-100.00,22.50,-100.00,22.50,-100.00,22.50,0.00,-100.00,0.00
72,-100.00,22.50,0.00,-100.00,-100.00,-100.00,-100.00,-100.00,-100.00,-100.00,0.00,-100.00,0.00
73,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,-100.00,-100.00,22.50,0.00,-100.00,0.00
74,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,-100.00,-100.00,22.50,0.00,-100.00,0.00
75,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,-100.00,-100.00,22.50,0.00,-100.00,0.00
76,0.00,-100.00,0.00,-100.00,-100.00,-100.00,-100.00,22.50,-100.00,-100.00,0.00,-100.00,0.00
77,0.00,-100.00,0.00,-100.00,-100.00,22.50,-100.00,22.50,-100.00,22.50,0.00,-100.00,0.00
78,0.00,-100.00,0.00,-100.00,-100.00,22.50,-100.00,22.50,-100.00,22.50,0.00,-100.00,0.00
79,0.00,-100.00,0.00,-100.00,-100.00,22.50,-100.00,22.50,-100.00,22.50,0.00,-100.00,0.00
80,-100.00,22.50,-100.00,45.00,-100.00,-100.00,-100.00,-100.00,0.00,-100.00,0.00,-100.00,0.00
81,-100.00,22.50,-100.00,45.00,-100.00,22.50,-100.00,-100.00,0.00,-100.00,0.00,-100.00,0.00
82,-100.00,22.50,-100.00,45.00,-100.00,22.50,-100.00,-100.00,0.00,-100.00,0.00,-100.00,0.00
83,-100.00,22.50,-100.00,45.00,-100.00,22.50,-100.00,-100.00,0.00,-100.00,0.00,-100.00,0.00
84,0.00,-100.00,-100.00,45.00,-100.00,-100.00,-100.00,22.50,0.00,-100.00,0.00,-100.00,0.00
85,0.00,-100.00,-100.00,45.00,-100.00,22.50,-100.00,22.50,0.00,-100.00,0.00,-100.00,0.00
86,0.00,-100.00,-100.00,45.00,-100.00,22.50,-100.00,22.50,0.00,-100.00,0.00,-100.00,0.00
87,0.00,-100.00,-100.00,45.00,-100.00,22.50,-100.00,22.50,0.00,-100.00,0.00,-100.00,0.00
88,-100.00,22.50,0.00,-100.00,-100.00,-100.00,-100.00,-100.00,0.00,-100.00,0.00,-100.00,0.00
89,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,-100.00,0.00,-100.00,0.00,-100.00,0.00
90,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,-100.00,0.00,-100.00,0.00,-100.00,0.00
91,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,-100.00,0.00,-100.00,0.00,-100.00,0.00
92,0.00,-100.00,0.00,-100.00,-100.00,-100.00,-100.00,22.50,0.00,-100.00,0.00,-100.00,0.00
93,0.00,-100.00,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00,-100.00,0.00,-100.00,0.00
94,0.00,-100.00,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00,-100.00,0.00,-100.00,0.00
95,0.00,-100.00,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00,-100.00,0.00,-100.00,0.00
96,-100.00,22.50,-100.00,45.00,0.00,-100.00,-100.00,-100.00,-100.00,-100.00,0.00,-100.00,0.00
97,-100.00,22.50,-100.00,45.00,0.00,-100.00,-100.00,-100.00,-100.00,22.50,0.00,-100.00,0.00
98,-100.00,22.50,-100.00,45.00,0.00,-100.00,-100.00,-100.00,-100.00,22.50,0.00,-100.00,0.00
99,-100.00,22.50,-100.00,45.00,0.00,-100.00,-100.00,-100.00,-100.00,22.50,0.00,-100.00,0.00
100,0.00,-100.00,-100.00,45.00,0.00,-100.00,-100.00,22.50,-100.00,-100.00,0.00,-100.00,0.00
101,0.00,-100.00,-100.00,45.00,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00,-100.00,0.00
102,0.00,-100.00,-100.00,45.00,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00,-100.00,0.00
103,0.00,-100.00,-100.00,45.00,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00,-100.00,0.00
104,-100.00,22.50,0.00,-100.00,0.00,-100.00,-100.00,-100.00,-100.00,-100.00,0.00,-100.00,0.00
105,-100.00,22.50,0.00,-100.00,0.00,-100.00,-100.00,-100.00,-100.00,22.50,0.00,-100.00,0.00
106,-100.00,22.50,0.00,-100.00,0.00,-100.00,-100.00,-100.00,-100.00,22.50,0.00,-100.00,0.00
107,-100.00,22.50,0.00,-100.00,0.00,-100.00,-100.00,-100.00,-100.00,22.50,0.00,-100.00,0.00
108,0.00,-100.00,0.00,-100.00,0.00,-100.00,-100.00,22.50,-100.00,-100.00,0.00,-100.00,0.00
109,0.00,-100.00,0.00,-100.00,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00,-100.00,0.00
110,0.00,-100.00,0.00,-100.00,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00,-100.00,0.00
111,0.00,-100.00,0.00,-100.00,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00,-100.00,0.00
112,-100.00,22.50,-100.00,45.00,0.00,-100.00,-100.00,-100.00,0.00,-100.00,0.00,-100.00,0.00
113,-100.00,22.50,-100.00,45.00,0.00,-100.00,-100.00,-100.00,0.00,-100.00,0.00,-100.00,0.00
114,-100.00,22.50,-100.00,45.00,0.00,-100.00,-100.00,-100.00,0.00,-100.00,0.00,-100.00,0.00
115,-100.00,22.50,-100.00,45.00,0.00,-100.00,-100.00,-100.00,0.00,-100.00,0.00,-100.00,0.00
116,0.00,-100.00,-100.00,45.00,0.00,-100.00,-100.00,22.50,0.00,-100.00,0.00,-100.00,0.00
117,0.00,-100.00,-100.00,45.00,0.00,-100.00,-100.00,22.50,0.00,-100.00,0.00,-100.00,0.00
118,0.00,-100.00,-100.00,45.00,0.00,-100.00,-100.00,22.50,0.00,-100.00,0.00,-100.00,0.00
119,0.00,-100.00,-100.00,45.00,0.00,-100.00,-100.00,22.50,0.00,-100.00,0.00,-100.00,0.00
120,-100.00,22.50,0.00,-100.00,0.00,-100.00,-100.00,-100.00,0.00,-100.00,0.00,-100.00,0.00
121,-100.00,22.50,0.00,-100.00,0.00,-100.00,-100.00,-100.00,0.00,-100.00,0.00,-100.00,0.00
122,-100.00,22.50,0.00,-100.00,0.00,-100.00,-100.00,-100.00,0.00,-100.00,0.00,-100.00,0.00
123,-100.00,22.50,0.00,-100.00,0.00,-100.00,-100.00,-100.00,0.00,-100.00,0.00,-100.00,0.00
124,0.00,-100.00,0.00,-100.00,0.00,-100.00,-100.00,22.50,0.00,-100.00,0.00,-100.00,0.00
125,0.00,-100.00,0.00,-100.00,0.00,-100.00,-100.00,22.50,0.00,-100.00,0.00,-100.00,0.00
126,0.00,-100.00,0.00,-100.00,0.00,-100.00,-100.00,22.50,0.00,-100.00,0.00,-100.00,0.00
127,0.00,-100.00,0.00,-100.00,0.00,-100.00,-100.00,22.50,0.00,-100.00,0.00,-100.00,0.00
128,-100.00,22.50,-100.00,106.90,-100.00,-100.00,5.25,-100.00,-100.00,-100.00,-100.00,22.50,0.00
129,-100.00,22.50,-100.00,71.38,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
130,-100.00,22.50,-100.00,113.03,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
131,-100.00,22.50,-100.00,97.13,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
132,0.00,-100.00,-100.00,45.00,-100.00,-100.00,0.00,-100.00,-100.00,-100.00,-100.00,22.50,0.00
133,0.00,-100.00,-100.00,45.00,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
134,0.00,-100.00,-100.00,45.00,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
135,0.00,-100.00,-100.00,45.00,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
136,-100.00,22.50,0.00,-100.00,-100.00,-100.00,0.00,-100.00,-100.00,-100.00,-100.00,22.50,0.00
137,-100.00,22.50,0.00,-100.00,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
138,-100.00,22.50,0.00,-100.00,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
139,-100.00,22.50,0.00,-100.00,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
140,0.00,-100.00,0.00,-100.00,-100.00,-100.00,0.00,-100.00,-100.00,-100.00,-100.00,22.50,0.00
141,0.00,-100.00,0.00,-100.00,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
142,0.00,-100.00,0.00,-100.00,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
143,0.00,-100.00,0.00,-100.00,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
144,-100.00,22.50,-100.00,82.45,-100.00,-100.00,0.00,-100.00,0.00,-100.00,-100.00,22.50,0.00
145,-100.00,22.50,-100.00,45.00,-100.00,22.50,0.00,-100.00,0.00,-100.00,-100.00,22.50,0.00
146,-100.00,22.50,-100.00,45.00,-100.00,22.50,0.00,-100.00,0.00,-100.00,-100.00,22.50,0.00
147,-100.00,22.50,-100.00,45.00,-100.00,22.50,0.00,-100.00,0.00,-100.00,-100.00,22.50,0.00
148,0.00,-100.00,-100.00,45.00,-100.00,-100.00,0.00,-100.00,0.00,-100.00,-100.00,22.50,0.00
149,0.00,-100.00,-100.00,45.00,-100.00,22.50,0.00,-100.00,0.00,-100.00,-100.00,22.50,0.00
150,0.00,-100.00,-100.00,45.00,-100.00,22.50,0.00,-100.00,0.00,-100.00,-100.00,22.50,0.00
151,0.00,-100.00,-100.00,45.00,-100.00,22.50,0.00,-100.00,0.00,-100.00,-100.00,22.50,0.00
152,-100.00,22.50,0.00,-100.00,-100.00,-100.00,0.00,-100.00,0.00,-100.00,-100.00,22.50,0.00
153,-100.00,22.50,0.00,-100.00,-100.00,22.50,0.00,-100.00,0.00,-100.00,-100.00,22.50,0.00
154,-100.00,22.50,0.00,-100.00,-100.00,22.50,0.00,-100.00,0.00,-100.00,-100.00,22.50,0.00
155,-100.00,22.50,0.00,-100.00,-100.00,22.50,0.00,-100.00,0.00,-100.00,-100.00,22.50,0.00
