StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Eff=OFF,SetZ1Eff=ON,SetZ1Ineff=OFF,SetZ1Ineff=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Eff=OFF,SetZ2Eff=ON,SetZ2Ineff=OFF,SetZ2Ineff=ON,DO_NOTHING
5744,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5745,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.55,0.00,0.00,0.00
5752,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.00,0.79,0.00,0.27,0.20,0.00,0.00
5753,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.49,0.00
7296,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,10.05,0.00
7297,0.00,0.00,0.00,0.00,-2.57,0.00,0.00,-0.27,-0.55,-0.55,0.00,0.00,0.00,0.00,0.00
7298,8.50,10.05,9.00,100.50,0.00,-0.05,0.61,0.00,10.72,19.10,7.40,0.00,0.36,0.00,0.00
7299,0.00,0.00,-1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7304,0.00,0.00,-2.66,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7305,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.09,0.00
7312,0.00,0.00,0.00,0.00,0.00,2.85,-4.14,-0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7313,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.96,-0.55,0.00,-0.55,0.00,-0.55,0.00,0.00
