profile,metric,n_paired,ql_true_mean,ql_false_mean,mean_diff_true_minus_false,ci_lo,ci_hi,lower_is_better,p_bootstrap,p_wilcoxon,cliffs_delta,ql_true_better,q_bootstrap_bh,bh_family_m
lab2_slow,overall_compliance,10,0.9833333333333332,0.5,0.4833333333333334,0.45,0.5,False,0.0,0.001953125,1.0,True,0.0,2
lab3_slow,overall_compliance,10,1.0,0.5,0.5,0.5,0.5,False,0.0,0.001953125,1.0,True,0.0,2
lab2_slow,tight_compliance,10,0.9666666666666668,0.0,0.9666666666666668,0.8999999999999998,1.0,False,0.0,0.001953125,1.0,True,0.0,2
lab3_slow,tight_compliance,10,1.0,0.0,1.0,1.0,1.0,False,0.0,0.001953125,1.0,True,0.0,2
lab2_slow,loose_compliance,10,1.0,1.0,0.0,0.0,0.0,False,1.0,1.0,0.0,False,1.0,2
lab3_slow,loose_compliance,10,1.0,1.0,0.0,0.0,0.0,False,1.0,1.0,0.0,False,1.0,2
lab2_slow,total_tick_energy,10,3.7,0.0,3.7,3.3,4.1,True,0.0,0.001953125,1.0,False,0.0,2
lab3_slow,total_tick_energy,10,3.1,0.0,3.1,3.0,3.3,True,0.0,0.001953125,1.0,False,0.0,2
