profile,mode,n_actuators,n_instantaneous,n_delayed,slowest_label,slowest_learned_ticks,ground_truth_ticks,abs_err_ticks,rel_err_pct,mean_instant_ticks,mean_delayed_ticks
lab2_slow,ql_false,4,2,2,SetZ1Blinds=ON,12.1875,12,0.1875,1.56,1.1063,12.1625
lab2_slow,ql_true,4,2,2,SetZ2Blinds=ON,12.125,12,0.125,1.04,1.1313,12.0875
lab3_slow,ql_false,5,3,2,SetZ1Blinds=ON,12.1375,12,0.1375,1.15,1.1375,12.1312
lab3_slow,ql_true,5,3,2,SetZ1Blinds=ON,12.175,12,0.175,1.46,1.1083,12.175
