profile,condition,n_seeds,mean_first_goal,ci_lo,ci_hi
custom3,pbrs_on,8,2670.9080401971337,2357.698214609839,2956.7288842931794
custom5,pbrs_on,8,1915.6616090431316,1696.1101114730802,2127.955418876846
custom9,pbrs_on,8,1923.8004154382834,1818.4818254436932,2004.3177882585437
