profile,metric,recovery_tier,in_registered_family,n_paired,seeds_paired,ql_true_mean,ql_false_mean,mean_diff_true_minus_false,ci_lo,ci_hi,p_bootstrap,p_bootstrap_one_sided_true_faster,p_wilcoxon,cliffs_delta,ql_true_faster,q_bootstrap_bh,bh_family_m
lab3_f2bdead,RecoveryEpisodes,confirmatory,False,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,570.0,447.7,122.3,-11.502499999999998,265.3,0.0756,0.0378,0.232421875,0.38,False,nan,0
lab3_f2bdead,DetectEpisode,,False,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,3.8,5.8,-2.0,-3.8,-0.1,0.0468,0.9814,0.078125,-0.4,True,nan,0
