profile,metric,recovery_tier,n_paired,ql_true_mean,ql_false_mean,mean_diff_true_minus_false,ci_lo,ci_hi,p_bootstrap,p_bootstrap_one_sided_true_faster,p_wilcoxon,cliffs_delta,ql_true_faster,q_bootstrap_bh,bh_family_m
lab2_f1binv,RecoveryEpisodes,descriptive,9,287.22222222222223,333.77777777777777,-46.55555555555556,-158.33333333333334,70.5583333333333,0.43,0.7855,0.359375,-0.3333333333333333,True,nan,0
lab2_f1binv,DetectEpisode,,10,7.6,6.1,1.5,0.0,3.2,0.0572,0.0286,0.21875,0.12,False,0.0572,1
