profile,condition,n_seeds,mean_first_goal,ci_lo,ci_hi
lab4chain3,pbrs_on,10,1.2166666666666668,1.1,1.3333333333333335
labband,pbrs_on,10,1.05,1.0,1.1
labrel0,pbrs_on,10,1.0,1.0,1.0
labrel16,pbrs_on,10,1.3,1.15,1.45
labrel4,pbrs_on,10,1.0,1.0,1.0
labrel8,pbrs_on,10,1.1,1.0,1.25
labrel8s,pbrs_on,10,1.05,1.0,1.15
