profile,condition,n_seeds,mean_first_goal,ci_lo,ci_hi
lab2,pbrs_on,20,1297.1855209180803,1287.1367547283546,1307.7984666410732
lab3,pbrs_on,20,1387.0406076502086,1366.9221746518538,1405.8255588478075
