StateIndex,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,14.77,-1.05,-0.55,101.80,17.27,10.36,0.81,1.66,-0.57
1,0.00,0.00,0.00,27.30,0.05,0.81,11.58,80.05,5.21
2,15.50,6.15,0.00,101.80,0.00,4.41,4.67,0.00,0.00
3,0.00,69.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,-0.55,0.00,-0.55,69.33,0.00,0.00,0.00,0.00,0.00
8,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,51.18,-0.30
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.10,0.00
69,-0.55,5.28,0.00,0.00,53.98,0.00,0.13,0.00,-0.30
134,0.00,0.00,0.00,81.49,0.00,0.00,0.00,0.00,0.00
199,0.00,56.95,0.00,0.00,-0.05,0.00,0.00,0.00,2.80
208,0.00,0.00,0.00,79.41,0.00,0.00,0.00,-0.10,0.00
209,7.19,12.48,5.52,0.00,20.60,89.50,2.56,7.26,9.03
210,0.00,0.00,0.00,0.00,0.00,0.00,59.09,0.00,0.00
211,0.00,0.00,0.00,83.32,0.00,0.00,0.00,0.00,0.00
212,0.00,0.00,0.00,68.62,0.00,0.00,0.00,0.00,0.00
213,22.86,3.52,25.09,100.00,1.14,0.00,0.46,8.48,12.66
214,0.00,8.54,0.00,52.17,0.00,-0.05,0.00,0.00,0.00
215,-0.55,0.00,0.00,71.76,0.00,0.00,0.00,-0.43,0.00
216,-0.55,-0.56,0.00,93.54,7.28,-0.11,0.00,-0.57,0.00
220,-0.55,0.09,0.00,86.49,-0.10,-1.62,0.10,0.00,-0.34
265,0.00,0.00,0.00,80.42,0.81,0.00,-0.05,0.00,0.00
333,0.00,-0.55,-0.55,0.00,0.85,0.00,-0.05,28.49,0.00
473,0.00,0.00,0.00,98.36,0.00,0.00,-0.05,0.00,0.00
477,0.00,0.00,0.00,0.00,75.16,0.59,0.00,0.00,0.00
522,40.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
654,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,34.59,0.00
730,0.00,0.35,0.00,99.03,0.00,0.00,0.00,0.00,0.00
734,0.00,0.00,-0.20,0.00,76.55,0.00,0.00,-0.05,0.00
779,0.00,0.00,0.00,0.00,0.00,1.98,0.00,0.00,0.20
800,2.76,0.83,-11.96,0.37,0.25,0.56,0.92,2.00,1.01
801,0.00,0.00,0.00,2.97,0.00,0.00,0.00,1.54,0.00
802,1.01,0.00,-4.84,0.70,0.54,0.66,0.27,2.00,0.79
803,0.00,2.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
804,19.59,0.45,-23.02,0.00,0.76,0.00,0.83,0.20,1.27
808,0.37,0.00,-10.00,0.98,0.20,0.00,0.20,1.59,0.00
809,0.00,0.00,0.00,0.00,0.20,0.00,0.31,1.94,0.00
810,3.01,2.45,-10.03,0.00,0.00,0.00,0.00,0.00,0.00
811,0.00,0.00,3.32,0.00,0.20,0.00,0.00,0.00,0.00
812,3.72,17.89,0.00,0.00,0.53,1.55,0.00,0.00,0.00
869,0.00,0.31,-26.47,10.00,0.20,0.00,0.00,1.84,1.08
877,3.32,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00
934,0.00,3.62,-3.69,0.00,0.00,0.00,0.45,0.00,0.20
942,1.27,0.00,-19.01,0.00,0.00,0.00,0.00,1.98,0.25
