StateIndex,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,12.23,0.81,-0.05,89.50,13.81,-1.37,-1.05,10.03,-0.57
1,0.00,0.00,0.00,3.08,2.56,3.02,15.97,103.42,8.43
2,13.32,3.09,0.00,89.50,0.00,10.83,0.64,0.00,0.00
3,0.00,54.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,-0.05,0.00,-0.05,-2.32,0.00,0.00,0.00,0.00,0.00
8,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,80.44,-0.30
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.53,0.00
69,-0.05,0.76,0.00,0.00,55.43,0.00,-0.55,0.00,-0.30
134,0.00,0.00,0.00,38.10,0.00,0.00,0.00,0.00,0.00
199,0.00,1.14,0.00,0.00,-10.00,0.00,0.00,0.00,0.26
208,0.00,0.00,0.00,1.59,0.00,0.00,0.00,0.40,0.00
209,0.53,0.56,0.78,0.00,1.44,3.80,-2.91,0.80,0.85
210,0.00,0.00,0.00,0.00,0.00,0.00,-13.64,0.00,0.00
211,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00
212,0.00,0.00,0.00,1.37,0.00,0.00,0.00,0.00,0.00
213,1.03,0.33,1.37,2.00,0.32,0.00,-18.53,0.55,0.64
214,0.00,0.51,0.00,1.04,0.00,0.20,0.00,0.00,0.00
215,0.20,0.00,0.00,1.44,0.00,0.00,0.00,1.73,0.00
216,0.20,0.25,0.00,1.87,1.04,0.42,0.00,2.27,0.00
220,0.20,1.11,0.00,1.73,0.40,6.49,-8.29,0.00,0.36
265,0.00,0.00,0.00,50.15,-1.05,0.00,-0.55,0.00,0.00
333,0.00,-0.05,-0.05,0.00,-2.05,0.00,-0.55,73.23,0.00
473,0.00,0.00,0.00,1.97,0.00,0.00,-10.00,0.00,0.00
477,0.00,0.00,0.00,0.00,3.41,0.28,0.00,0.00,0.00
522,62.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
654,0.00,0.00,0.00,0.00,-4.05,0.00,0.00,78.85,0.00
730,0.00,0.22,0.00,1.98,0.00,0.00,0.00,0.00,0.00
734,0.00,0.00,0.26,0.00,3.42,0.00,0.00,0.20,0.00
779,0.00,0.00,0.00,0.00,0.00,99.21,0.00,0.00,-0.30
800,8.36,6.83,1.69,8.48,1.89,-1.50,11.25,100.00,14.84
801,0.00,0.00,0.00,-0.74,0.00,0.00,0.00,77.12,0.00
802,23.26,0.00,1.44,15.79,6.74,7.85,3.14,100.00,11.60
803,0.00,26.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00
804,-4.90,-0.11,-0.20,0.00,7.91,0.00,-0.71,10.00,-0.79
808,8.30,0.00,-0.05,-0.25,-0.55,0.00,-0.55,79.41,0.00
809,0.00,0.00,0.00,0.00,-0.55,0.00,4.96,96.91,0.00
810,70.91,-0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00
811,0.00,0.00,73.43,0.00,-0.55,0.00,0.00,0.00,0.00
812,-0.93,-4.47,0.00,0.00,6.22,-0.89,0.00,0.00,0.00
869,0.00,-0.08,-0.07,-2.50,-2.05,0.00,0.00,92.02,-0.52
877,39.48,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00
934,0.00,81.12,1.97,0.00,0.00,0.00,-1.06,0.00,-0.30
942,-0.32,0.00,2.43,0.00,0.00,0.00,0.00,98.80,2.14
