profile,mode,n_runs,source_run,defect_component,well_posed_recovery,recovery_tier,detection_rate,reconverge_rate,n_detected,n_reconverged,greedy_goal_rate_mean,n_goal_reaching,goal_reaching_rate,degraded_rate,n_degraded,best_effort_rank,nominal_goal,RecoveryEpisodes_mean,RecoveryEpisodes_ci_lo,RecoveryEpisodes_ci_hi,DetectEpisode_mean,DetectEpisode_ci_lo,DetectEpisode_ci_hi
lab3_f1inv,ql_true,10,phase2_postinv/run_29148475671/recovery_root,http://example.org/was#SetZ1Light,True,descriptive,1.0,1.0,10,10,0.385,0,0.0,1.0,10,0,3,1152.4,822.3,1457.0049999999999,0.0,0.0,0.0
lab3_f1inv_z2,ql_false,10,phase2_postinv/run_29151540231/recovery_root,http://example.org/was#SetZ2Light,True,descriptive,1.0,1.0,10,10,0.405,1,0.1,0.0,0,,3,1294.5,923.3925,1736.8075,0.0,0.0,0.0
lab3_f1inv_z2,ql_true,10,phase2_postinv/run_29151540231/recovery_root,http://example.org/was#SetZ2Light,True,descriptive,1.0,1.0,10,10,0.37,0,0.0,0.0,0,,3,1325.0,1064.3975,1600.7,0.0,0.0,0.0
lab3_f2dead,ql_false,10,phase2_postinv/run_29148475671/recovery_root,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,1.0,10,10,0.955,10,1.0,1.0,10,2,3,416.1,365.0,465.0,0.0,0.0,0.0
lab3_f2dead,ql_true,10,phase2_postinv/run_29148475671/recovery_root,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,1.0,10,10,0.97,10,1.0,1.0,10,2,3,213.5,134.9,311.11249999999984,0.0,0.0,0.0
lab3_f2dead_lowsun,ql_false,10,phase2_postinv/run_29155539633/recovery_root,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,True,confirmatory,1.0,1.0,10,10,0.96,10,1.0,1.0,10,2,3,134.9,104.5,166.4,0.0,0.0,0.0
lab3_f2dead_lowsun,ql_true,10,phase2_postinv/run_29155539633/recovery_root,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,True,confirmatory,1.0,1.0,10,10,1.0,10,1.0,1.0,10,2,3,63.5,53.6,73.9,0.0,0.0,0.0
lab3_f2inv,ql_false,10,phase2_postinv/run_29151540231/recovery_root,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,1.0,10,10,0.43,4,0.4,1.0,10,0,3,594.5,423.1,776.4,0.0,0.0,0.0
lab3_f2inv,ql_true,10,phase2_postinv/run_29151540231/recovery_root,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,0.5,10,5,0.29,2,0.2,1.0,10,0,3,1331.2,453.0,2370.2,0.0,0.0,0.0
labmon2_f2dead_lowsun,ql_false,10,phase2_postinv/run_29155539633/recovery_root,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,True,confirmatory,1.0,1.0,10,10,0.895,10,1.0,1.0,10,2,3,334.7,290.3,380.5,0.0,0.0,0.0
labmon2_f2dead_lowsun,ql_true,10,phase2_postinv/run_29155539633/recovery_root,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,True,confirmatory,1.0,1.0,10,10,0.99,10,1.0,1.0,10,2,3,187.1,130.895,252.10499999999993,0.0,0.0,0.0
labmon2_infoonly_f2dead_lowsun,ql_false,10,phase2_postinv/run_29157197853/recovery_root,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,1.0,10,10,0.88,10,1.0,1.0,10,2,3,370.2,256.4975,508.2,0.0,0.0,0.0
labmon2_infoonly_f2dead_lowsun,ql_true,10,phase2_postinv/run_29157197853/recovery_root,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,1.0,10,10,0.9,10,1.0,1.0,10,2,3,172.0,145.4,200.7,0.0,0.0,0.0
labmon2_nostereo_f2dead_lowsun,ql_false,10,phase2_postinv/run_29157197853/recovery_root,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,1.0,10,10,0.835,10,1.0,1.0,10,2,3,364.0,302.7,427.0,0.0,0.0,0.0
labmon2_nostereo_f2dead_lowsun,ql_true,10,phase2_postinv/run_29157197853/recovery_root,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,1.0,10,10,0.875,10,1.0,1.0,10,2,3,162.6,128.2,201.3,0.0,0.0,0.0
labmon_f1dead,ql_false,10,phase2_postinv/run_29155539633/recovery_root,http://example.org/was#SetZ1Light,True,confirmatory,1.0,1.0,10,10,1.0,10,1.0,1.0,10,2,3,62.3,51.0,84.3,0.0,0.0,0.0
labmon_f1dead,ql_true,10,phase2_postinv/run_29155539633/recovery_root,http://example.org/was#SetZ1Light,True,confirmatory,1.0,1.0,10,10,1.0,10,1.0,1.0,10,2,3,84.5,58.8,111.1,0.0,0.0,0.0
labmon_infoonly_f1dead,ql_false,10,phase2_postinv/run_29157197853/recovery_root,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,1.0,10,1.0,1.0,10,2,3,71.5,51.0,99.1,0.0,0.0,0.0
labmon_infoonly_f1dead,ql_true,10,phase2_postinv/run_29157197853/recovery_root,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,1.0,10,1.0,1.0,10,2,3,51.3,50.0,52.7,0.0,0.0,0.0
labmon_nostereo_f1dead,ql_false,10,phase2_postinv/run_29157197853/recovery_root,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,1.0,10,1.0,1.0,10,2,3,71.5,51.0,99.1,0.0,0.0,0.0
labmon_nostereo_f1dead,ql_true,10,phase2_postinv/run_29157197853/recovery_root,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,1.0,10,1.0,1.0,10,2,3,51.3,50.0,52.7,0.0,0.0,0.0
