profile,mode,n_seeds,goal_rate_mean,goal_rate_ci_lo,goal_rate_ci_hi,avg_steps_mean,avg_steps_ci_lo,avg_steps_ci_hi,avg_dev_mean,avg_dev_ci_lo,avg_dev_ci_hi,avg_policy_energy_mean,avg_policy_energy_ci_lo,avg_policy_energy_ci_hi,avg_legacy_wallclock_energy_mean,avg_legacy_wallclock_energy_ci_lo,avg_legacy_wallclock_energy_ci_hi,avg_wasted_mean,avg_wasted_ci_lo,avg_wasted_ci_hi,avg_cycling_mean,avg_cycling_ci_lo,avg_cycling_ci_hi,avg_redundant_mean,avg_redundant_ci_lo,avg_redundant_ci_hi
lab4chain3,ql_false,10,1.0,1.0,1.0,1.7625,1.575,1.9875,2.6625,2.1,3.3375,2.0,1.6,2.462812499999995,4.3,3.2700000000000005,5.537562499999999,0.0,0.0,0.0,1.7625,1.575,1.9875,1.7625,1.575,1.9875
lab4chain3,ql_true,10,1.0,1.0,1.0,1.5,1.5,1.5,1.875,1.875,1.875,1.025,1.0,1.0625,2.9125,2.8275000000000006,3.0025,0.0,0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5
lab4chain3,rule_based,10,1.0,1.0,1.0,1.5,1.5,1.5,1.875,1.875,1.875,1.25,1.25,1.25,2.9174999999999995,2.8575,2.98,0.0,0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5
labband,ql_false,10,0.9875,0.96875,1.0,1.6125,1.34,1.9050312499999995,0.9137500000000001,0.6325000000000001,1.2225,2.1412500000000003,1.49875,2.80375,11.92625,10.446124999999997,13.44753125,0.45125000000000004,0.19871875000000003,0.7512812499999997,1.1612500000000001,1.0675,1.2550000000000001,1.6125,1.34,1.9050312499999995
labband,ql_true,10,0.99375,0.98125,1.0,1.46,1.295,1.65,0.76,0.5874687500000001,0.9612499999999999,1.7875,1.355,2.25253125,10.94375,9.968718749999999,11.99753125,0.16999999999999998,0.030000000000000006,0.41875,1.29,1.15375,1.4287812499999997,1.46,1.295,1.65
labband,rule_based,10,0.4375,0.4375,0.4375,11.4375,11.4375,11.4375,15.0,15.0,15.0,11.1875,11.1875,11.1875,32.2825,32.08749999999999,32.46753125,0.0,0.0,0.0,11.4375,11.4375,11.4375,11.4375,11.4375,11.4375
labrel0,ql_false,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.62,4.45,4.78,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel0,ql_true,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.77,4.57,4.99,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel0,rule_based,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.41,4.32,4.52,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel16,ql_false,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.58,4.4399999999999995,4.74,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel16,ql_true,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.61,4.43,4.8,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel16,rule_based,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.59,4.45,4.7299999999999995,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel4,ql_false,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.580000000000001,4.42,4.74,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel4,ql_true,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.5,4.369999999999999,4.619999999999999,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel4,rule_based,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.61,4.45,4.77,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel8,ql_false,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.459999999999999,4.32,4.6,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel8,ql_true,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.630000000000001,4.409999999999999,4.9,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel8,rule_based,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.64,4.449999999999999,4.85,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel8s,ql_false,10,1.0,1.0,1.0,0.6,0.5,0.75,0.3,0.0,0.75,0.7,0.5,1.0,4.970000000000001,4.409999999999999,5.65,0.0,0.0,0.0,0.6,0.5,0.75,0.6,0.5,0.75
labrel8s,ql_true,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.58,4.42,4.73,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel8s,rule_based,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.6,4.46,4.75,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
