profile,condition,n_seeds,mean_first_goal,ci_lo,ci_hi
lab4,pbrs_on,20,1409.3921191883169,1399.8994861854726,1419.761558917074
lab5,pbrs_on,20,1402.268419133789,1372.9630105644717,1429.5014682253668
