profile,metric,recovery_tier,in_registered_family,n_paired,seeds_paired,ql_true_mean,ql_false_mean,mean_diff_true_minus_false,ci_lo,ci_hi,p_bootstrap,p_bootstrap_one_sided_true_faster,p_wilcoxon,cliffs_delta,ql_true_faster,q_bootstrap_bh,bh_family_m
lab3_f1dead,RecoveryEpisodes,confirmatory,True,10,seed11;seed12;seed13;seed14;seed15;seed16;seed17;seed18;seed19;seed20,149.4,270.5,-121.1,-201.605,-51.8,0.0002,0.9999,0.013671875,-0.72,True,nan,0
lab3_f1dead,DetectEpisode,,True,10,seed11;seed12;seed13;seed14;seed15;seed16;seed17;seed18;seed19;seed20,3.8,2.1,1.7,-1.2,5.3,0.3278,0.1639,0.5625,0.09,False,nan,0
