StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,0.00,0.00,4.56,-0.55,8.57,101.80,17.31,0.00,9.11,4.85,5.93
1,14.14,7.50,5.12,9.06,3.90,10.06,12.61,120.82,0.00,8.41,0.91
2,8.03,131.12,1.54,17.76,-0.55,0.00,11.68,0.00,0.00,4.85,24.40
3,0.00,0.00,-0.55,0.00,-0.55,75.42,0.00,0.00,0.00,0.00,0.00
8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,89.35,0.00
16,0.00,0.00,0.00,0.00,0.00,85.32,0.00,0.00,0.00,0.00,0.00
24,0.00,0.00,-0.55,0.00,0.00,0.00,26.81,0.00,0.00,0.00,0.00
649,4.13,0.00,3.07,112.58,0.00,0.00,0.00,10.08,0.00,6.08,9.81
657,0.00,0.00,-1.06,0.00,0.00,0.00,-0.05,0.00,0.00,46.93,-0.30
1284,17.26,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1285,-3.06,-0.55,-0.55,0.00,-0.55,0.00,-0.05,0.00,0.00,24.98,-0.30
1286,4.43,16.25,0.35,0.00,21.08,101.80,6.87,3.77,16.28,0.85,6.92
1287,-3.15,-0.55,-0.55,0.00,-0.55,0.00,0.00,40.95,0.00,0.00,0.00
1290,-0.55,0.00,-0.55,0.00,0.00,0.00,-3.37,-0.05,0.00,49.51,0.00
1292,-3.61,-0.55,-0.55,0.00,-0.55,35.63,-0.05,0.00,-0.05,0.00,-0.30
1293,0.00,0.00,-0.55,4.71,-0.55,0.00,0.00,-0.05,0.00,0.00,0.00
1298,0.00,0.00,0.00,0.00,0.00,10.03,0.00,0.00,0.00,74.58,0.00
1300,-3.15,-0.55,-0.55,-0.55,-0.55,0.00,-0.05,0.81,-0.05,-0.65,-0.30
1301,0.00,-0.55,1.46,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00
1305,0.00,-0.55,-1.79,0.00,0.00,103.42,-2.05,8.69,11.62,0.00,4.48
1308,0.00,0.00,0.00,0.00,0.00,49.90,0.00,0.00,-0.05,0.00,0.00
1309,5.37,0.00,0.00,0.00,0.35,61.26,0.00,0.00,3.81,0.00,0.00
1419,0.00,0.00,0.00,0.00,0.00,83.32,0.00,0.00,0.00,0.00,0.00
1422,-0.55,0.00,0.00,56.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1440,1.39,0.00,-0.55,-0.55,0.00,46.86,0.00,0.00,0.00,0.00,0.00
1441,0.00,0.00,-0.64,-0.55,-1.12,99.13,0.00,-0.05,0.00,-1.03,-0.30
1442,0.00,0.00,0.00,0.00,0.00,68.62,-0.05,0.00,0.00,0.00,0.00
1443,0.35,0.00,0.00,71.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1444,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.86,0.00,0.00,0.00
1445,-0.55,0.00,0.00,0.00,-0.55,74.58,-0.07,0.00,0.00,-0.29,-0.30
1446,0.00,0.00,0.00,46.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1447,0.00,0.00,-0.55,0.00,-0.55,0.00,0.00,0.00,2.39,0.00,0.00
1448,0.00,0.00,0.00,0.00,0.00,99.13,0.00,0.00,0.00,3.05,0.00
1449,0.00,0.00,0.00,0.00,0.00,0.00,40.58,0.94,0.00,-0.05,0.00
1450,0.00,94.19,-0.62,0.00,-0.56,0.00,0.00,-0.74,0.00,0.00,-0.34
1452,58.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00
1456,0.00,-1.30,3.14,-0.55,0.00,52.17,-3.15,0.00,0.00,0.00,-0.30
1457,0.00,0.00,71.85,0.00,-0.55,0.00,0.00,0.00,-2.05,0.00,-0.30
1460,0.00,0.00,0.00,-0.84,0.00,0.00,-4.48,-0.14,-0.10,0.00,-0.50
1464,0.00,0.00,39.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.30
1465,0.00,0.00,2.60,0.00,-0.56,0.00,0.00,-0.10,0.00,-0.06,0.00
1468,0.00,0.00,0.00,0.00,0.00,0.00,-1.64,0.00,0.00,0.00,0.00
1811,0.20,0.00,0.00,0.00,0.00,0.00,0.00,1.37,0.00,0.00,0.00
1814,-8.29,0.40,0.00,10.78,0.00,0.00,1.11,0.00,1.17,0.00,0.00
1856,0.94,0.20,1.45,0.46,-19.45,5.20,1.87,0.41,0.37,2.00,0.91
1857,0.47,0.38,0.00,0.43,-15.79,3.31,1.55,0.32,0.44,2.00,0.00
1858,0.00,0.00,0.00,0.67,0.00,0.00,0.00,1.04,0.00,0.00,0.00
1859,0.22,0.22,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1860,1.41,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00
1861,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.82,0.00,0.00,0.00
1862,0.00,0.56,0.38,2.00,-3.23,0.37,0.38,0.38,0.63,0.20,0.91
1863,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.94,0.20
1864,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.00,1.78,0.20
1865,1.02,0.00,0.00,0.00,-5.03,0.38,0.37,0.60,1.29,2.00,0.80
1868,0.00,0.00,0.20,7.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1872,0.00,3.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1873,0.00,0.00,2.33,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00
1874,0.31,0.00,0.00,4.44,-9.10,0.27,0.22,0.00,0.00,1.70,0.00
1876,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.93,0.00
1880,0.00,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20
1881,0.46,0.20,3.80,0.43,0.00,0.54,0.69,0.94,0.54,0.00,0.53
1884,0.00,1.69,0.48,0.82,-7.50,17.45,0.20,0.20,0.00,0.00,0.26
