StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,20.78,3.95,33.17,-0.05,11.60,129.50,7.55,0.00,0.00,0.00,4.79
1,11.26,7.51,0.00,0.00,6.11,129.50,16.18,1.95,0.00,0.00,9.05
2,1.13,7.58,2.52,15.93,30.71,129.50,27.35,0.00,0.00,10.02,0.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.64,0.00,0.00,0.00
8,-0.30,0.00,-0.05,0.00,0.00,0.00,103.39,0.00,0.00,0.00,0.00
16,1.91,0.00,0.00,0.00,0.00,88.81,0.00,0.00,0.00,0.00,0.00
24,0.00,0.00,55.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
649,0.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
657,0.00,0.00,0.00,0.00,0.00,50.50,0.00,0.00,0.00,0.00,0.00
1284,0.00,0.00,0.00,0.00,0.00,5.19,0.00,0.00,0.00,0.00,0.00
1285,-2.07,-0.55,-0.05,-0.05,-0.10,8.35,-0.55,-0.33,-0.55,0.00,-0.30
1286,0.00,0.00,0.00,0.00,0.00,16.18,0.00,0.00,0.00,0.00,0.00
1287,0.00,-0.55,-0.05,0.00,0.00,0.00,-0.55,27.10,-0.55,0.00,-0.30
1290,-0.55,0.00,0.00,0.00,0.00,74.58,0.00,0.00,-0.55,19.41,0.00
1292,0.00,0.00,0.00,0.00,0.00,-0.47,0.00,-0.55,0.00,0.00,0.00
1293,0.00,0.00,-0.05,42.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1298,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.12,0.00
1300,5.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1301,0.00,0.00,0.00,0.00,0.00,56.95,0.00,0.00,0.00,0.00,0.00
1305,0.00,0.00,0.00,0.00,0.00,0.00,-1.87,0.00,0.00,62.01,0.00
1308,0.00,0.00,0.00,-0.05,0.00,-0.18,0.00,0.00,0.00,0.00,-0.30
1309,0.00,0.00,0.00,0.00,0.00,87.84,0.00,3.14,0.00,0.00,3.39
1419,1.45,0.00,0.00,1.88,0.44,0.00,0.00,9.80,0.76,0.00,0.00
1422,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.68,0.00,0.00,0.00
1440,0.20,2.31,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1441,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.18,0.00,0.00,0.00
1442,0.00,0.00,0.00,0.00,0.00,1.23,0.00,0.00,0.00,0.00,0.20
1443,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.14,0.00,0.00,0.22
