StateIndex,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,27.01,-0.24,-0.60,191.30,31.09,8.99,-0.24,11.69,-1.14
1,0.00,0.00,0.00,30.38,2.62,3.83,27.56,183.47,13.64
2,28.82,9.24,0.00,191.30,0.00,15.23,5.31,0.00,0.00
3,0.00,123.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,-0.60,0.00,-0.60,67.01,0.00,0.00,0.00,0.00,0.00
8,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,131.62,-0.60
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110.63,0.00
69,-0.60,6.04,0.00,0.00,109.41,0.00,-0.43,0.00,-0.60
134,0.00,0.00,0.00,119.60,0.00,0.00,0.00,0.00,0.00
199,0.00,58.09,0.00,0.00,-10.05,0.00,0.00,0.00,3.06
208,0.00,0.00,0.00,81.00,0.00,0.00,0.00,0.30,0.00
209,7.73,13.04,6.29,0.00,22.04,93.30,-0.35,8.06,9.88
210,0.00,0.00,0.00,0.00,0.00,0.00,45.44,0.00,0.00
211,0.00,0.00,0.00,84.99,0.00,0.00,0.00,0.00,0.00
212,0.00,0.00,0.00,69.99,0.00,0.00,0.00,0.00,0.00
213,23.89,3.84,26.46,102.00,1.46,0.00,-18.07,9.03,13.30
214,0.00,9.04,0.00,53.21,0.00,0.15,0.00,0.00,0.00
215,-0.35,0.00,0.00,73.19,0.00,0.00,0.00,1.30,0.00
216,-0.35,-0.31,0.00,95.41,8.32,0.32,0.00,1.70,0.00
220,-0.35,1.20,0.00,88.22,0.30,4.86,-8.19,0.00,0.02
265,0.00,0.00,0.00,130.57,-0.24,0.00,-0.60,0.00,0.00
333,0.00,-0.60,-0.60,0.00,-1.20,0.00,-0.60,101.72,0.00
473,0.00,0.00,0.00,100.32,0.00,0.00,-10.05,0.00,0.00
477,0.00,0.00,0.00,0.00,78.57,0.87,0.00,0.00,0.00
522,103.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
654,0.00,0.00,0.00,0.00,-4.10,0.00,0.00,113.44,0.00
730,0.00,0.57,0.00,101.01,0.00,0.00,0.00,0.00,0.00
734,0.00,0.00,0.05,0.00,79.97,0.00,0.00,0.15,0.00
779,0.00,0.00,0.00,0.00,0.00,101.20,0.00,0.00,-0.10
800,11.11,7.66,-10.27,8.85,2.14,-0.94,12.17,102.00,15.84
801,0.00,0.00,0.00,2.23,0.00,0.00,0.00,78.67,0.00
802,24.27,0.00,-3.41,16.49,7.27,8.51,3.41,102.00,12.39
803,0.00,29.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00
804,14.69,0.34,-23.22,0.00,8.66,0.00,0.12,10.20,0.48
808,8.67,0.00,-10.05,0.74,-0.35,0.00,-0.35,81.00,0.00
809,0.00,0.00,0.00,0.00,-0.35,0.00,5.27,98.85,0.00
810,73.93,1.84,-10.03,0.00,0.00,0.00,0.00,0.00,0.00
811,0.00,0.00,76.75,0.00,-0.35,0.00,0.00,0.00,0.00
812,2.79,13.42,0.00,0.00,6.75,0.66,0.00,0.00,0.00
869,0.00,0.23,-26.54,7.50,-1.85,0.00,0.00,93.86,0.56
877,42.80,0.00,0.00,0.00,0.00,0.00,-0.35,0.00,0.00
934,0.00,84.74,-1.72,0.00,0.00,0.00,-0.61,0.00,-0.10
942,0.95,0.00,-16.59,0.00,0.00,0.00,0.00,100.78,2.39
