profile,condition,n_seeds,mean_first_goal,ci_lo,ci_hi
lab1,pbrs_on,10,31.05,23.1,39.3
lab2,pbrs_on,10,1288.6784447643643,1274.1572766898444,1303.3585562829242
lab3,pbrs_on,10,1362.3714266114796,1331.9969624732908,1394.8388672199562
