StateIndex,SetMasterSwitch=OFF,SetMasterSwitch=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,28.65,0.00,-0.54,0.00,0.00,131.00,0.00,0.00,10.59,0.00,-0.04,-0.01,25.03,0.00,5.21
1,10.22,0.17,1.63,-0.30,0.00,0.00,-0.54,119.55,2.50,-0.84,0.00,0.00,0.00,4.05,10.35
2,0.00,-0.54,5.50,-0.54,25.12,4.06,-0.54,8.61,0.00,0.00,11.75,4.06,3.31,131.00,1.26
3,-0.54,0.00,-0.54,-0.54,0.00,0.00,-0.54,19.29,-0.54,-0.54,-0.04,0.00,-0.04,0.00,0.00
4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.75,0.00,0.00,0.00,0.00,0.00
5,0.00,0.00,0.00,0.00,0.00,11.23,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0.00,-0.54,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,5.45,-0.29
7,0.00,0.00,0.00,0.00,-0.54,0.00,0.00,19.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0.00,0.00,46.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,0.00,0.00,0.00,0.00,-0.54,0.00,-0.54,0.00,-0.54,0.00,0.00,11.73,0.00,0.00,-0.29
10,0.00,0.00,0.00,0.00,0.00,26.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,-0.54,0.00,-0.54,0.00,0.00,5.77,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.00
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.19,0.00,0.00,0.00,0.00,-0.04,0.00,0.00
13,0.00,-0.54,0.00,-1.02,0.00,0.00,-0.54,8.82,0.00,0.00,-0.04,0.00,0.00,0.00,0.00
14,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,0.00,-0.54,0.00,0.00,0.00,0.00,0.00,41.57,0.00,0.00,0.00,0.00,0.00,0.00,-0.29
32,0.00,4.60,0.00,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,-0.29
36,0.00,0.00,0.00,0.00,0.00,33.08,0.00,0.00,0.00,0.00,0.00,-0.04,1.52,0.00,0.00
40,0.00,0.00,0.00,-0.54,0.00,14.12,0.00,-0.54,0.00,0.00,-0.04,-0.04,-0.04,0.00,0.00
44,0.00,0.00,0.00,-0.54,-0.54,0.00,0.00,-0.54,-0.54,0.00,0.00,-0.04,-0.04,15.22,-0.29
64,-0.54,0.00,0.00,0.00,-0.54,25.31,0.00,0.00,0.00,0.00,-0.04,-0.04,-0.04,0.00,0.00
68,0.00,0.00,0.00,0.00,0.00,10.24,0.00,0.00,0.00,0.00,-0.04,-0.04,0.00,0.00,-0.29
72,0.00,0.00,0.00,0.00,0.00,0.00,4.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,0.00,0.00,0.00,0.00,-0.54,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,23.17,0.00
96,0.00,0.00,-0.54,0.00,-0.54,23.22,0.00,-0.54,-0.54,-0.54,0.00,-0.04,-0.04,0.00,-0.29
100,0.00,0.00,0.00,10.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
104,0.00,0.00,0.00,0.00,-0.54,8.61,-0.54,0.00,0.00,0.00,-0.04,0.00,0.00,0.00,-0.29
108,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.54,58.83,0.00,0.00,-0.04,0.00,0.00
256,0.00,-0.54,0.00,0.00,0.00,26.27,0.00,0.00,0.00,-0.54,0.00,0.00,-0.04,0.00,-0.29
257,0.00,-0.17,0.00,-0.54,0.00,0.00,0.00,8.12,0.00,-0.54,-0.04,0.00,-0.04,0.00,0.00
258,0.00,-0.54,-0.54,-0.54,-0.54,4.06,-0.54,0.00,0.00,-0.54,0.00,0.00,-0.04,0.00,0.00
259,0.00,0.00,0.00,0.00,0.00,32.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
260,0.00,0.00,0.00,73.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
261,-0.54,0.00,0.00,0.00,0.00,43.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
262,0.00,-0.54,0.00,0.00,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,10.82,0.00,0.00,0.00
263,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.54,0.00,0.00,-0.04,0.00,0.00
264,0.00,35.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
265,-0.54,27.56,0.00,0.00,-0.54,0.00,0.00,0.00,-0.54,-0.54,-0.04,0.00,-0.04,0.00,-0.29
266,-0.54,0.00,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.93,0.00
267,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.21,0.00
288,0.00,-0.54,-0.54,-0.54,-0.54,10.97,-0.54,0.00,0.00,-0.54,-0.04,-0.04,-0.04,0.00,0.00
292,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00
296,-0.54,0.00,0.00,0.00,-0.54,0.00,0.00,0.00,0.00,-1.02,4.70,0.00,-0.04,0.00,0.00
320,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.57,0.00
324,0.00,0.00,-0.54,0.00,-0.54,0.00,9.63,0.00,0.00,0.00,-0.04,-0.05,0.00,0.00,0.00
328,0.00,10.17,0.00,0.00,0.00,0.00,-0.54,0.00,0.00,-0.54,0.00,0.00,0.00,0.00,0.00
352,-0.54,0.00,-0.54,-0.54,0.00,19.07,-0.54,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,0.00
356,0.96,-0.54,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,-0.54,0.00,0.00,-0.04,0.00,0.00
360,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,4.06,0.00
2593,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.47,0.00,0.00,0.00,-0.04,0.00,0.00,0.00
2597,-0.54,-0.54,-0.54,-0.54,-0.54,0.00,-0.54,0.00,-0.54,-0.28,-2.09,-0.04,0.00,0.00,-0.29
2601,0.00,-0.54,0.00,0.00,0.00,0.00,-0.54,13.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2605,0.94,0.00,-0.54,0.00,0.00,0.00,-0.54,0.00,0.00,0.00,-2.09,0.00,0.00,0.00,0.00
2625,0.00,-0.54,0.00,-0.36,0.00,110.50,0.00,10.35,9.40,-0.54,4.06,2.01,0.00,0.00,0.00
2629,17.87,0.00,0.00,-0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.29
2633,0.00,0.00,0.00,-1.03,-0.54,21.75,0.00,0.00,-0.54,0.00,0.00,0.00,0.00,0.00,0.00
2637,0.00,0.00,0.00,-0.20,0.00,2.01,0.00,0.00,0.00,0.00,0.14,10.66,0.00,0.00,0.00
2849,-0.54,0.00,0.00,0.00,0.00,0.00,-0.54,0.00,0.00,-0.54,0.00,0.00,0.00,7.67,-0.29
2853,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.29,0.00
2857,0.00,0.00,0.00,-0.54,0.00,0.00,-0.54,7.59,0.00,0.00,-2.09,-0.04,0.00,0.00,0.00
2881,0.00,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.32,0.00,0.00,0.00
2885,0.00,0.00,0.00,0.00,0.00,11.63,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,0.00,0.00
2889,0.00,35.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5136,7.70,-0.55,-0.55,-0.55,-3.44,-0.55,8.00,0.36,0.00,0.00,14.73,-0.09,-0.05,100.50,-0.30
5137,0.00,0.00,-1.04,0.00,6.56,0.00,0.00,-0.55,0.00,-0.55,0.00,0.00,0.00,0.00,-0.30
5138,0.00,0.00,-0.55,0.00,0.00,0.00,-0.55,0.00,-0.55,-0.55,-0.05,41.16,0.00,0.00,-0.30
5139,0.00,0.00,-0.55,2.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.30
5140,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,19.10,-0.30
5141,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.77,0.00,0.00,0.00,0.00,0.00
