StateIndex,SetMasterSwitch=OFF,SetMasterSwitch=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
5190,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
5194,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
5198,0,1,5,0,0,0,0,1,1,0,1,0,0,0,0
5200,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
5201,0,2,1,1,2,0,1,1,1,2,0,0,1,305,1
5204,0,1,0,0,0,0,1,1,0,0,1,0,0,3,0
5205,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0
5209,0,1,0,0,0,0,1,1,1,1,0,0,0,8,1
5213,0,0,0,1,0,1,1,0,0,3,0,0,0,1,0
5217,0,1,0,1,0,6,1,0,0,0,0,1,0,0,0
5221,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0
5225,0,0,0,1,1,0,0,1,0,1,1,2,0,13,1
5229,1,0,0,1,1,1,1,1,0,0,1,0,0,7,0
5232,1,0,1,0,1,1,0,0,0,0,12,0,1,0,0
5233,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0
5236,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0
5237,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
5240,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
5241,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
5245,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
5392,1,1,1,0,1,0,0,1,5,1,0,0,1,0,0
5393,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5394,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0
5395,1,0,0,0,0,1,0,0,0,1,1,0,0,7,1
5396,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
5397,0,0,1,11,0,1,0,1,0,0,1,0,0,0,1
5398,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
5399,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5400,0,0,0,1,0,0,0,0,0,0,1,1,0,2,1
5401,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0
5402,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5410,0,2,0,0,1,0,0,0,0,0,0,0,2,0,1
5414,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
