StateIndex,SetMasterSwitch=OFF,SetMasterSwitch=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
352,-0.57,0.00,-0.57,-0.57,0.00,38.22,-0.57,0.00,0.00,0.00,0.00,-0.57,0.00,0.00,0.00
356,3.29,-0.57,-0.57,0.00,0.00,0.00,0.00,0.00,0.00,-0.57,0.00,0.00,-0.57,0.00,0.00
360,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.57,0.00,0.00,14.21,0.00
2593,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.80,0.00,0.00,0.00,-0.58,0.00,0.00,0.00
2597,-0.58,-0.58,-0.58,-0.37,-1.08,0.00,-0.58,0.00,-0.58,3.89,-4.17,-0.58,0.00,0.00,-0.58
2601,0.00,-0.58,0.00,0.00,0.00,0.00,-0.58,56.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2605,8.12,0.00,-0.58,0.00,0.00,0.00,-0.58,0.00,0.00,0.00,-4.17,0.00,0.00,0.00,0.00
2625,0.00,-0.58,0.00,-0.22,0.00,221.00,0.00,21.65,19.31,-0.58,7.63,4.01,0.00,0.00,0.00
2629,36.69,0.00,0.00,-0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.58
2633,0.00,0.00,0.00,-1.10,-1.08,43.51,0.00,0.00,-0.58,0.00,0.00,0.00,0.00,0.00,0.00
2637,0.00,0.00,0.00,0.11,0.00,4.01,0.00,0.00,0.00,0.00,-0.22,28.40,0.00,0.00,0.00
2849,-0.58,0.00,0.00,0.00,0.00,0.00,-0.58,0.00,0.00,-0.58,0.00,0.00,0.00,49.99,-0.58
2853,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.70,0.00
2857,0.00,0.00,0.00,-0.58,0.00,0.00,-0.58,11.57,0.00,0.00,-4.17,-0.58,0.00,0.00,0.00
2881,0.00,-0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.99,0.00,0.00,0.00
2885,0.00,0.00,0.00,0.00,0.00,23.25,0.00,0.00,0.00,0.00,-0.58,0.00,0.00,0.00,0.00
2889,0.00,45.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5136,16.35,-0.59,-0.59,-0.59,-6.88,-1.09,16.95,1.22,0.00,0.00,28.10,-1.12,-0.59,201.00,-0.59
5137,0.00,0.00,-1.12,0.00,13.12,0.00,0.00,-0.59,0.00,-0.59,0.00,0.00,0.00,0.00,-0.59
5138,0.00,0.00,-0.59,0.00,0.00,0.00,-0.59,0.00,-0.59,-0.59,-0.59,82.31,0.00,0.00,-0.59
5139,0.00,0.00,-0.59,5.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.59
5140,0.00,0.00,0.00,0.00,0.00,-1.09,0.00,0.00,0.00,0.00,0.00,-0.59,0.00,38.19,-0.59
5141,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.59,0.00,0.00,0.00,0.00,0.00
