StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetPlugZ2=OFF,SetPlugZ2=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,-0.57,0.00,55.07,-0.28,26.05,238.60,20.29,0.00,18.39,0.00,13.01,0.00,19.65,0.00,-0.57
1,1.47,0.51,5.10,-0.07,-1.07,0.00,0.79,0.00,3.70,0.32,10.59,211.70,27.24,0.00,-0.57
2,-0.57,0.00,7.36,1.37,0.00,8.11,0.00,22.33,15.38,-0.35,14.39,238.60,20.87,0.16,20.90
3,0.00,-0.57,0.00,0.00,0.00,0.00,0.00,95.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,-0.57,0.00,90.07,0.00,0.00,0.00,0.00,-0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,-0.57,0.00,0.00,0.00,-1.07,0.00,0.00,20.61,0.00,0.00,0.00,0.00,0.00,0.00,-0.57
6,0.00,-0.57,0.00,-1.08,0.00,0.00,-0.57,8.11,0.00,0.00,-0.57,0.00,0.00,39.67,0.00
7,-0.57,1.88,0.00,0.00,-1.07,0.00,0.00,0.00,-0.57,0.00,0.00,0.00,0.00,0.00,-0.57
8,0.00,0.00,-0.57,0.00,0.00,33.50,-1.08,0.00,0.00,0.00,-0.57,0.00,-0.57,0.00,0.00
9,0.00,0.00,0.00,0.00,-1.07,29.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.57,0.00
10,0.00,0.00,-0.57,0.00,-1.07,0.00,0.00,0.00,0.00,39.42,0.00,0.00,0.00,0.00,-0.57
11,0.00,0.00,0.00,0.00,0.00,18.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,9.87,0.00,0.00,0.00,-1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,0.00,-0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.11,0.00,0.00,0.00
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.93,0.00,0.00,0.00,0.00,0.00
32,0.00,12.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.57,0.00,0.00,0.00,0.00,0.00
40,0.00,0.00,3.01,0.00,0.00,120.91,0.00,0.00,0.00,0.00,0.00,-0.57,-0.57,0.00,0.00
44,-0.57,-0.57,9.29,0.00,0.00,0.00,-0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.57
64,-0.57,-0.57,0.00,0.16,0.00,0.00,0.00,-0.57,0.00,0.00,0.00,0.00,0.00,-0.57,0.00
68,0.00,0.00,-0.57,0.00,-1.07,18.85,0.00,-0.57,-0.57,-0.57,-0.57,0.00,-0.57,0.00,0.00
72,0.00,0.00,0.00,-0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.31,0.00,0.00,0.00,15.13,0.00
96,-0.57,-0.56,0.00,0.00,0.00,0.00,0.02,-0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100,0.00,0.00,0.00,0.00,0.00,42.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
104,0.00,0.00,-0.57,0.00,-1.07,0.00,16.78,-0.57,-0.57,0.00,0.00,-0.57,0.00,0.00,-0.57
108,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.69,0.00,0.00,0.00,0.00,0.00
128,0.00,0.00,-0.57,0.00,-1.07,0.00,0.00,0.00,0.00,-0.51,0.00,2.33,0.00,0.00,-0.57
129,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.08,0.00,0.00,0.00,0.00,0.00,-0.57,0.00
130,0.00,-0.57,-0.57,0.00,-1.07,0.00,0.00,0.00,-0.57,0.00,0.00,31.29,0.00,0.00,0.00
131,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.26,0.00,0.00,0.00,0.00,0.00
136,0.00,0.00,0.00,0.00,0.00,55.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
137,0.00,-0.57,0.00,0.00,0.00,53.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
138,0.00,0.00,0.00,65.69,-1.07,0.00,0.00,0.00,-0.57,0.00,0.71,0.00,-0.57,-0.57,-0.57
139,0.00,0.00,-0.57,28.74,-1.07,0.00,-0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
160,-0.57,0.00,0.00,0.00,-1.07,0.00,-0.57,-0.57,-0.57,37.92,0.00,0.00,-0.50,0.00,0.00
168,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00
192,-0.57,0.00,0.00,50.65,0.00,0.00,0.00,0.00,-0.57,0.00,-0.57,-0.57,0.00,-0.57,0.00
200,0.00,0.00,0.00,30.16,0.00,0.00,0.00,0.00,0.00,0.00,-0.57,0.00,0.00,0.00,0.00
224,-0.57,0.00,0.00,0.00,-1.07,65.08,-0.57,0.00,-0.57,-0.39,0.00,0.00,0.00,-0.57,0.00
232,0.00,0.00,0.00,27.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.57,-0.57
256,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.74,0.00,0.00,0.00,0.00,-0.57,0.00
257,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.55,0.00,0.00,0.00,0.00,0.00,0.00
258,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.12,0.00,0.00,0.00
259,0.00,0.00,0.00,0.00,0.00,9.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
260,0.00,0.00,0.00,0.00,0.00,32.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
261,0.00,0.00,0.00,0.00,0.00,32.96,-0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.57
262,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.47,0.00,0.00,0.00
263,-0.57,0.00,0.00,0.00,-1.07,0.00,-0.57,0.00,0.00,0.00,0.00,55.01,-0.57,0.00,-0.57
288,0.00,0.00,0.00,0.71,-1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.57,0.00
292,-0.57,62.25,0.00,0.00,-1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
320,0.00,38.75,-0.57,0.00,0.00,0.00,0.00,0.00,0.00,-0.57,0.00,0.00,0.00,0.00,-0.57
