StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
2696,14.15,201.00,-7.54,0.00,22.57,5.77,15.16,0.00,17.50,0.00,0.00,0.00,0.00
2697,0.00,0.00,-5.32,-2.07,0.00,-0.48,-0.59,-0.59,-0.59,0.00,-0.59,0.00,-0.59
2698,0.00,0.00,0.00,-1.09,-0.59,20.10,0.00,-0.59,0.00,0.00,-0.59,0.00,-0.59
2699,0.00,123.13,0.00,0.00,0.00,0.00,0.00,-0.59,0.00,0.00,0.00,0.00,0.00
2706,0.00,0.00,0.00,54.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2712,-0.59,0.00,0.00,-1.09,-0.59,0.00,-0.59,0.00,33.25,0.00,-0.59,0.00,-0.59
2713,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,137.92,0.00
2722,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.12,0.00,0.00,0.00
2728,0.00,0.00,0.00,0.00,81.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2729,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.98,0.00,0.00,0.00
2737,-0.59,0.00,0.00,0.00,0.00,-0.59,17.55,-0.59,-3.09,0.00,0.00,0.00,-0.59
2744,0.00,0.00,-8.10,0.00,0.00,0.00,0.00,0.00,5.50,-0.59,0.00,0.00,0.00
2745,0.00,20.10,0.00,0.00,0.00,0.00,0.00,-0.59,0.00,0.00,0.00,104.86,0.00
2880,0.00,34.33,0.00,0.00,-0.35,-0.35,0.00,0.00,0.00,0.00,-8.57,0.00,0.00
2881,8.88,-0.35,8.71,102.50,0.00,11.06,8.40,-0.56,0.00,0.00,5.99,0.00,9.13
2882,-0.51,8.02,-0.06,102.50,-0.61,0.00,8.57,0.00,20.75,0.00,-22.49,0.46,4.80
