StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetPlugZ2=OFF,SetPlugZ2=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
261,0.00,0.00,0.00,0.00,0.00,16.48,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.29
262,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.24,0.00,0.00,0.00
263,-0.04,0.00,0.00,0.00,-0.54,0.00,-0.04,0.00,0.00,0.00,0.00,27.51,-0.54,0.00,-0.29
288,0.00,0.00,0.00,-0.17,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.54,0.00
292,-0.04,20.60,0.00,0.00,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
320,0.00,11.22,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,0.00,0.00,-0.29
324,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.47,0.00
352,0.00,0.00,0.00,0.00,0.00,21.91,0.00,0.00,0.00,0.00,-0.54,0.00,0.00,0.00,0.00
356,0.00,0.00,-0.54,0.00,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,-0.54,0.00,0.00,0.00
384,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.20,0.00,0.00,0.00,0.00,-0.54,-0.54,-0.29
385,0.00,46.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
386,0.00,0.00,0.00,35.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
387,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00
416,0.00,0.00,0.00,0.00,0.00,76.43,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
448,0.00,0.00,-0.54,53.53,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
480,0.00,28.54,0.00,0.00,-0.54,0.00,1.25,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2593,0.00,0.43,6.83,-0.04,1.87,2.04,0.00,92.54,1.06,0.00,7.07,0.00,16.84,0.00,0.00
2597,-0.04,0.00,0.00,0.00,-0.54,24.37,-0.04,0.00,-0.04,0.00,-2.09,-0.54,-0.54,0.00,-0.29
