StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetPlugZ2=OFF,SetPlugZ2=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
5151,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
5154,1,294,0,1,0,1,1,0,0,3,1,1,0,0,1
5158,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
5162,0,2,0,1,2,2,1,0,0,296,0,1,0,0,0
5166,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
5168,0,2,1,0,1,0,0,1,0,1,0,1,1,0,1
5169,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
5172,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0
5173,0,0,0,0,0,0,1,1,1,0,1,1,0,12,0
5176,0,0,1,1,1,1,1,1,0,13,0,1,0,0,0
5177,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
5180,0,0,1,1,1,1,0,0,0,0,0,0,0,3,0
5181,1,0,0,0,1,1,0,1,1,2,0,0,0,0,0
5186,1,0,0,4,1,0,0,0,1,0,1,0,0,1,1
5190,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0
5194,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
5198,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0
5200,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1
5201,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5204,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0
5205,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5208,0,0,0,0,0,0,1,1,1,0,0,5,0,1,0
5209,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5212,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
5213,0,0,1,0,0,0,0,0,0,0,1,0,0,8,0
5217,2,1,1,2,2,3,1,3,2,303,1,1,1,2,2
5221,0,4,1,2,1,1,0,1,0,0,1,0,1,0,0
5225,1,1,1,1,1,0,1,1,1,7,1,1,1,1,1
5229,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0
5232,1,4,0,1,1,0,0,2,0,0,0,1,1,0,0
5233,1,0,1,1,5,0,1,1,0,1,0,0,0,1,1
5236,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0
5237,1,1,1,0,1,0,1,0,0,0,0,0,1,2,1
5240,0,0,0,0,0,0,0,0,0,10,1,1,1,1,0
5241,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5245,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0
5264,0,1,0,6,0,0,0,0,0,0,0,0,1,0,1
