StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetPlugZ2=OFF,SetPlugZ2=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,-0.54,0.00,27.85,0.13,12.82,117.05,9.69,0.00,8.52,0.00,7.29,0.00,9.87,0.00,-0.29
1,0.49,-0.42,3.04,0.44,-0.54,0.00,0.15,0.00,1.66,-0.06,6.65,108.31,15.53,0.00,-0.29
2,-0.54,0.00,4.11,0.62,0.00,4.06,0.00,11.21,7.06,-0.65,7.28,117.05,10.48,0.33,10.25
3,0.00,-0.54,0.00,0.00,0.00,0.00,0.00,47.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,-0.54,0.00,45.51,0.00,0.00,0.00,0.00,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,-0.54,0.00,0.00,0.00,-0.54,0.00,0.00,8.57,0.00,0.00,0.00,0.00,0.00,0.00,-0.29
6,0.00,-0.54,0.00,-0.07,0.00,0.00,-0.54,4.06,0.00,0.00,-0.04,0.00,0.00,11.82,0.00
7,-0.54,1.22,0.00,0.00,-0.54,0.00,0.00,0.00,-0.54,0.00,0.00,0.00,0.00,0.00,-0.29
8,0.00,0.00,-0.04,0.00,0.00,16.75,-1.02,0.00,0.00,0.00,-0.04,0.00,-0.04,0.00,0.00
9,0.00,0.00,0.00,0.00,-0.54,15.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.00
10,0.00,0.00,-0.04,0.00,-0.54,0.00,0.00,0.00,0.00,27.52,0.00,0.00,0.00,0.00,-0.29
11,0.00,0.00,0.00,0.00,0.00,9.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,4.22,0.00,0.00,0.00,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,0.00,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.06,0.00,0.00,0.00
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.84,0.00,0.00,0.00,0.00,0.00
32,0.00,5.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.54,0.00,0.00,0.00,0.00,0.00
40,0.00,0.00,1.75,0.00,0.00,60.46,0.00,0.00,0.00,0.00,0.00,-0.04,-0.04,0.00,0.00
44,-0.54,-0.54,5.32,0.00,0.00,0.00,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.29
64,-0.54,-0.54,0.00,0.33,0.00,0.00,0.00,-0.54,0.00,0.00,0.00,0.00,0.00,-0.04,0.00
68,0.00,0.00,-0.04,0.00,-0.54,9.42,0.00,-0.54,-0.54,-0.54,-0.04,0.00,-0.04,0.00,0.00
72,0.00,0.00,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.66,0.00,0.00,0.00,4.96,0.00
96,-0.54,-0.55,0.00,0.00,0.00,0.00,-0.28,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100,0.00,0.00,0.00,0.00,0.00,21.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
104,0.00,0.00,-0.04,0.00,-0.54,0.00,7.53,-0.54,-0.54,0.00,0.00,-0.04,0.00,0.00,-0.29
