StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetPlugZ2=OFF,SetPlugZ2=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
5158,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
5162,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
5166,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0
5169,0,2,0,6,0,0,0,1,0,0,0,1,0,1,0
5172,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
5173,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
5176,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
5177,0,0,0,8,1,0,0,1,0,0,0,0,0,0,1
5180,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
5181,0,0,0,0,0,0,1,0,0,1,0,0,0,12,0
5190,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
5198,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
5200,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0
5201,0,3,0,2,0,0,1,0,0,0,0,1,0,0,0
5204,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
5205,0,1,0,0,0,1,0,0,0,1,0,6,0,0,0
5208,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
5209,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0
5212,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
5213,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0
5221,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
5225,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
5229,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
5232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5233,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
5236,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
5237,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
5240,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1
5241,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0
5244,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
5245,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0
5264,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
5265,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5266,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
5267,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
5272,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
5273,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
5274,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
5275,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
5282,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
5290,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
5296,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0
5297,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
5304,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
5305,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
5314,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
5322,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
5328,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5329,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5336,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
5337,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
5345,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
5353,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
5360,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
5361,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
5368,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
5369,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
5392,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0
5393,0,6,0,1,1,0,0,1,0,0,0,1,0,0,0
5394,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
5396,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5397,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
5398,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
5399,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
5410,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
5414,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
5424,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
5425,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0
5428,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
5429,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
5442,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5446,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
5456,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
5457,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
5460,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
5461,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
5473,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
5477,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
5488,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
5489,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5492,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5493,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
5520,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0
5521,0,0,1,3,1,0,0,0,0,0,0,0,1,0,1
5522,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
5523,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
5538,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
5552,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5553,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
5570,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
5584,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5585,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
5601,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
5616,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
5617,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
5764,0,20,1,0,0,0,0,0,0,0,0,0,1,0,41
5765,0,12,1,0,0,0,0,0,0,0,0,0,1,0,0
5766,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5767,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
