StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Eff=OFF,SetZ1Eff=ON,SetZ1Ineff=OFF,SetZ1Ineff=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Eff=OFF,SetZ2Eff=ON,SetZ2Ineff=OFF,SetZ2Ineff=ON,DO_NOTHING
5753,-0.55,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,4.41,-0.06,0.00
7296,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.20
7297,0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7298,0.00,0.00,0.00,0.54,0.00,0.00,0.00,3.14,0.00,0.00,0.00,0.00,0.22,0.00,0.00
7299,0.00,0.00,0.00,1.23,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7305,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.38,0.00,0.00,0.00
7312,0.00,0.00,0.00,5.21,0.00,0.00,-8.40,0.00,0.00,0.00,0.00,0.82,0.00,0.00,0.00
7313,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.00,0.00
7320,0.00,0.00,0.00,3.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7321,0.00,0.00,0.22,0.00,8.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7424,0.00,2.00,0.00,0.00,-0.84,0.37,0.70,0.23,0.34,0.20,0.31,0.20,0.38,0.20,0.56
7425,0.00,0.00,0.00,0.20,0.62,0.00,0.00,0.00,0.00,0.22,0.00,2.00,0.69,0.20,0.37
7427,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00
7432,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
