ActionLabel,SunBucket,Sum,N
SetSpotlight=OFF,0,1.0,4
SetSpotlight=OFF,1,1.0,4
SetSpotlight=OFF,2,1.0,1
SetSpotlight=ON,0,346.0,350
SetSpotlight=ON,1,349.0,354
SetSpotlight=ON,2,306.0,306
SetSpotlight=ON,3,4.0,4
SetZ1Blinds=OFF,0,0.0,14
SetZ1Blinds=OFF,1,0.0,106
SetZ1Blinds=OFF,2,0.0,4
SetZ1Blinds=ON,0,0.0,2
SetZ1Blinds=ON,1,3.0,95
SetZ1Blinds=ON,2,298.0,301
SetZ1Blinds=ON,3,0.0,5
SetZ1Eff=OFF,0,4.0,8
SetZ1Eff=OFF,1,5.0,22
SetZ1Eff=OFF,2,3.0,6
SetZ1Eff=ON,0,331.0,331
SetZ1Eff=ON,1,3.0,6
SetZ1Eff=ON,2,1.0,1
SetZ1Ineff=OFF,0,12.0,22
SetZ1Ineff=OFF,1,21.0,24
SetZ1Ineff=OFF,2,1.0,3
SetZ1Ineff=ON,0,4.0,5
SetZ1Ineff=ON,2,2.0,2
SetZ2Blinds=OFF,0,0.0,20
SetZ2Blinds=OFF,1,0.0,27
SetZ2Blinds=OFF,2,0.0,3
SetZ2Blinds=ON,0,0.0,4
SetZ2Blinds=ON,1,0.0,24
SetZ2Blinds=ON,2,3.0,11
SetZ2Blinds=ON,3,6.0,15
SetZ2Eff=OFF,0,13.0,22
SetZ2Eff=OFF,1,3.0,16
SetZ2Eff=OFF,2,0.0,6
SetZ2Eff=OFF,3,1.0,5
SetZ2Eff=ON,0,19.0,20
SetZ2Eff=ON,1,354.0,354
SetZ2Ineff=OFF,0,3.0,6
SetZ2Ineff=OFF,1,15.0,29
SetZ2Ineff=OFF,2,0.0,1
SetZ2Ineff=ON,0,3.0,4
SetZ2Ineff=ON,1,304.0,305
SetZ2Ineff=ON,2,1.0,1
