profile,mode,n_seeds,goal_rate_mean,goal_rate_ci_lo,goal_rate_ci_hi,avg_steps_mean,avg_steps_ci_lo,avg_steps_ci_hi,avg_dev_mean,avg_dev_ci_lo,avg_dev_ci_hi,avg_policy_energy_mean,avg_policy_energy_ci_lo,avg_policy_energy_ci_hi,avg_legacy_wallclock_energy_mean,avg_legacy_wallclock_energy_ci_lo,avg_legacy_wallclock_energy_ci_hi,avg_wasted_mean,avg_wasted_ci_lo,avg_wasted_ci_hi,avg_cycling_mean,avg_cycling_ci_lo,avg_cycling_ci_hi,avg_redundant_mean,avg_redundant_ci_lo,avg_redundant_ci_hi
lab4chain3,ql_false,10,1.0,1.0,1.0,1.7875,1.6625,1.925,2.7375,2.3625,3.15,2.0375,1.55,2.625,4.3425,3.3775,5.4075625,0.0,0.0,0.0,1.7875,1.6625,1.925,1.7875,1.6625,1.925
lab4chain3,ql_true,10,1.0,1.0,1.0,1.7875,1.6625,1.925,2.7375,2.3625,3.15,2.0375,1.55,2.625,4.482499999999999,3.4699375,5.6175,0.0,0.0,0.0,1.7875,1.6625,1.925,1.7875,1.6625,1.925
lab4chain3,rule_based,10,1.0,1.0,1.0,1.5,1.5,1.5,1.875,1.875,1.875,1.25,1.25,1.25,2.8850000000000002,2.8074375,2.96,0.0,0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5
labband,ql_false,10,0.9974999999999999,0.99375,1.0,1.4187499999999997,1.275,1.5775,0.7125,0.55375,0.8850312499999997,1.585,1.225,1.9775312499999997,10.522499999999999,9.721250000000001,11.361281250000001,0.25625,0.13875,0.3775312499999996,1.1625,1.11375,1.2200000000000002,1.4187499999999997,1.275,1.5775
labband,ql_true,10,0.9974999999999999,0.99375,1.0,1.4187499999999997,1.275,1.5775,0.7125,0.55375,0.8850312499999997,1.585,1.225,1.9775312499999997,10.62,9.81121875,11.503749999999998,0.25625,0.13875,0.3775312499999996,1.1625,1.11375,1.2200000000000002,1.4187499999999997,1.275,1.5775
labband,rule_based,10,0.4375,0.4375,0.4375,11.4375,11.4375,11.4375,15.0,15.0,15.0,11.1875,11.1875,11.1875,31.9625,31.7,32.25253125,0.0,0.0,0.0,11.4375,11.4375,11.4375,11.4375,11.4375,11.4375
labrel0,ql_false,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.6,4.39,4.8100000000000005,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel0,ql_true,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.470000000000001,4.33,4.63,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel0,rule_based,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.4799999999999995,4.320000000000001,4.6499999999999995,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel16,ql_false,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.54,4.33,4.7700000000000005,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel16,ql_true,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.74,4.540000000000001,4.9,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel16,rule_based,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.720000000000001,4.540000000000001,4.9,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
