"observedAtUtc","runId","workflowId","name","event","status","conclusion","headBranch","headSha","runAttempt","createdAt","updatedAt","url"
"2026-06-16T13:31:04.1921740Z","27547019772","295361974","Phase 2 (fault detection, blacklist, re-learn)","workflow_dispatch","completed","success","phase2-fault-detection","985c7a18558b6d5cb96c018a395b0aae6389f410","2","2026-06-15T12:43:10Z","2026-06-15T18:31:44Z","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27547019772"
"2026-06-16T13:31:04.1921740Z","27598417789","296747332","Phase 3 (process dynamics, response-delay learning)","workflow_dispatch","completed","success","main","3bb5289c36cb3093228ec0609fe57ec676b1ee53","1","2026-06-16T06:21:50Z","2026-06-16T06:25:19Z","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27598417789"
